ID,Text,Comment
BeaverBuddies.Settings.SilenceLogging.Tooltip,"ป้องกันไม่ให้ม็อดนี้บันทึกลงไฟล์ log ของผู้เล่น (ยกเว้นคำเตือนและข้อผิดพลาด)
การตั้งค่านี้สำหรับนักพัฒนา",""
BeaverBuddies.Settings.ShowFirstTimerMessage,"แสดงข้อความผู้เล่นใหม่",""
BeaverBuddies.Settings.AlwaysTrace,"ใช้ log รายละเอียดเสมอ",""
BeaverBuddies.Settings.AlwaysTrace.Tooltip,"หากเปิดใช้งาน เกมจะใช้ log แบบละเอียดเสมอ ทำให้สามารถส่งรายงานการ desync ได้ตั้งแต่ครั้งแรกโดยไม่ต้องเปิดใช้งานเอง
ผู้เล่นทุกคนต้องเปิดใช้งาน
การตั้งค่านี้อาจทำให้เกมหน่วงและไม่แนะนำสำหรับผู้เล่นส่วนใหญ่",""
BeaverBuddies.Settings.ReportingConsent,"ยินยอมให้รายงาน",""
BeaverBuddies.Settings.EnableSteamConnection,"เปิดใช้งานเครือข่าย Steam",""
BeaverBuddies.Settings.EnableSteamConnection.Tooltip,"อนุญาตให้ผู้เล่นเข้าร่วมเกมของคุณผ่านเครือข่าย P2P ของ Steam
ผู้เล่นยังสามารถเข้าร่วมผ่านการส่งต่อพอร์ต
หมายเหตุ: ฟีเจอร์นี้อาจไม่ทำงานหากเครือข่ายของคุณไม่รองรับ P2P
นอกจากนี้ การเชื่อมต่อ P2P อาจช้ากว่าแบบตรง",""
BeaverBuddies.Settings.FriendsCanJoinSteamGame,"ให้เพื่อนเข้าร่วมเกมผ่าน Steam ได้ตรงๆ",""
BeaverBuddies.Settings.FriendsCanJoinSteamGame.Tooltip,"หากเปิดใช้งาน เพื่อนของคุณสามารถเข้าร่วมเกมผ่าน Steam โดยไม่ต้องเชิญ",""
BeaverBuddies.Host.ConnectedClients,"กำลังรอลูกค้าเชื่อมต่อ…
ลูกค้าที่เชื่อมต่อขณะนี้:",""
BeaverBuddies.Host.DirectConnectClient,"ไคลเอนต์เชื่อมต่อโดยตรง",""
BeaverBuddies.Host.StartGame,"เริ่มเกม",""
BeaverBuddies.Host.InviteFriends,"เชิญเพื่อน",""
BeaverBuddies.JoinCoopGame.Success,"เข้าร่วมแล้ว! กำลังรับแผนที่…",""
BeaverBuddies.JoinCoopGame.Error.InvalidFormat,"รูปแบบที่อยู่ไม่ถูกต้อง ไม่สามารถแยกพอร์ตได้",""
BeaverBuddies.JoinCoopGame.Error.InvalidAddress,"ที่อยู่นั้นไม่ใช่ที่อยู่ IP ที่ถูกต้อง
พยายามแปลงเป็นชื่อโฮสต์แล้ว แต่ไม่สามารถแปลงเป็นที่อยู่ IP ได้",""
BeaverBuddies.JoinCoopGame.Error.CouldNotConnect,"ไม่สามารถเชื่อมต่อกับโฮสต์ได้ โปรดตรวจสอบที่อยู่และพอร์ต และตรวจสอบให้แน่ใจว่าโฮสต์กำลังโฮสต์อยู่และมีการส่งต่อพอร์ตหากจำเป็น รายละเอียดข้อผิดพลาด:",""
